(,,)
(1993,4,1.068)
(1993,4,1.079)
(1993,4,1.079)
(1993,4,1.086)
(1993,5,1.086)
(1993,5,1.097)
(1993,5,1.106)
(1993,5,1.106)
(1993,5,1.107)
(1993,6,1.104)
(1993,6,1.101)
(1993,6,1.095)
(1993,6,1.089)
(1993,7,1.086)
(1993,7,1.081)
(1993,7,1.075)
(1993,7,1.069)
(1993,8,1.062)
(1993,8,1.06)
(1993,8,1.059)
(1993,8,1.065)
(1993,8,1.062)
(1993,9,1.055)
(1993,9,1.051)
(1993,9,1.045)
(1993,9,1.047)
(1993,10,1.092)
(1993,10,1.09)
(1993,10,1.093)
(1993,10,1.092)
(1993,11,1.084)
(1993,11,1.075)
(1993,11,1.064)
(1993,11,1.058)
(1993,11,1.051)
(1993,12,1.036)
(1993,12,1.018)
(1993,12,1.003)
(1993,12,0.999)
(1994,1,0.992)
(1994,1,0.995)
(1994,1,1.001)
(1994,1,0.999)
(1994,1,1.005)
(1994,2,1.007)
(1994,2,1.016)
(1994,2,1.009)
(1994,2,1.004)
(1994,3,1.007)
(1994,3,1.005)
(1994,3,1.007)
(1994,3,1.012)
(1994,4,1.011)
(1994,4,1.028)
(1994,4,1.033)
(1994,4,1.037)
(1994,5,1.04)
(1994,5,1.045)
(1994,5,1.046)
(1994,5,1.05)
(1994,5,1.056)
(1994,6,1.065)
(1994,6,1.073)
(1994,6,1.079)
(1994,6,1.095)
(1994,7,1.097)
(1994,7,1.103)
(1994,7,1.109)
(1994,7,1.114)
(1994,8,1.13)
(1994,8,1.157)
(1994,8,1.161)
(1994,8,1.165)
(1994,8,1.161)
(1994,9,1.156)
(1994,9,1.15)
(1994,9,1.14)
(1994,9,1.129)
(1994,10,1.12)
(1994,10,1.114)
(1994,10,1.106)
(1994,10,1.107)
(1994,10,1.121)
(1994,11,1.123)
(1994,11,1.122)
(1994,11,1.113)
(1994,11,1.117)
(1994,12,1.127)
(1994,12,1.131)
(1994,12,1.134)
(1994,12,1.125)
(1995,1,1.127)
(1995,1,1.134)
(1995,1,1.126)
(1995,1,1.132)
(1995,1,1.131)
(1995,2,1.124)
(1995,2,1.121)
(1995,2,1.115)
(1995,2,1.121)
(1995,3,1.123)
(1995,3,1.116)
(1995,3,1.114)
(1995,3,1.121)
(1995,4,1.133)
(1995,4,1.149)
(1995,4,1.163)
(1995,4,1.184)
(1995,5,1.194)
(1995,5,1.216)
(1995,5,1.226)
(1995,5,1.244)
(1995,5,1.246)
(1995,6,1.246)
(1995,6,1.243)
(1995,6,1.236)
(1995,6,1.229)
(1995,7,1.222)
(1995,7,1.212)
(1995,7,1.2)
(1995,7,1.191)
(1995,7,1.179)
(1995,8,1.174)
(1995,8,1.172)
(1995,8,1.171)
(1995,8,1.163)
(1995,9,1.16)
(1995,9,1.158)
(1995,9,1.157)
(1995,9,1.156)
(1995,10,1.151)
(1995,10,1.144)
(1995,10,1.133)
(1995,10,1.125)
(1995,10,1.115)
(1995,11,1.112)
(1995,11,1.109)
(1995,11,1.106)
(1995,11,1.107)
(1995,12,1.108)
(1995,12,1.11)
(1995,12,1.124)
(1995,12,1.128)
(1996,1,1.129)
(1996,1,1.139)
(1996,1,1.145)
(1996,1,1.138)
(1996,1,1.133)
(1996,2,1.13)
(1996,2,1.126)
(1996,2,1.133)
(1996,2,1.153)
(1996,3,1.17)
(1996,3,1.171)
(1996,3,1.181)
(1996,3,1.21)
(1996,4,1.223)
(1996,4,1.248)
(1996,4,1.287)
(1996,4,1.301)
(1996,4,1.318)
(1996,5,1.321)
(1996,5,1.323)
(1996,5,1.33)
(1996,5,1.321)
(1996,6,1.315)
(1996,6,1.307)
(1996,6,1.302)
(1996,6,1.289)
(1996,7,1.279)
(1996,7,1.276)
(1996,7,1.273)
(1996,7,1.272)
(1996,7,1.263)
(1996,8,1.253)
(1996,8,1.248)
(1996,8,1.249)
(1996,8,1.253)
(1996,9,1.242)
(1996,9,1.247)
(1996,9,1.25)
(1996,9,1.251)
