Week of,Series ID: PET.EMM_EPM0_PTE_R10_DPG.W Dollars per Gallon
05/2/2016,2.346
04/25/2016,2.258
04/18/2016,2.23
04/11/2016,2.168
04/4/2016,2.165
03/28/2016,2.155
03/21/2016,2.075
03/14/2016,2.02
03/7/2016,1.918
02/29/2016,1.88
02/22/2016,1.876
02/15/2016,1.898
02/8/2016,1.936
02/1/2016,1.977
01/25/2016,2.006
01/18/2016,2.045
01/11/2016,2.11
01/4/2016,2.138
12/28/2015,2.154
12/21/2015,2.173
12/14/2015,2.182
12/7/2015,2.21
11/30/2015,2.223
11/23/2015,2.243
11/16/2015,2.291
11/9/2015,2.299
11/2/2015,2.25
10/26/2015,2.264
10/19/2015,2.299
10/12/2015,2.33
10/5/2015,2.309
09/28/2015,2.321
09/21/2015,2.337
09/14/2015,2.389
09/7/2015,2.438
08/31/2015,2.473
08/24/2015,2.559
08/17/2015,2.618
08/10/2015,2.647
08/3/2015,2.696
07/27/2015,2.741
07/20/2015,2.779
07/13/2015,2.816
07/6/2015,2.827
06/29/2015,2.836
06/22/2015,2.837
06/15/2015,2.849
06/8/2015,2.798
06/1/2015,2.779
05/25/2015,2.773
05/18/2015,2.736
05/11/2015,2.717
05/4/2015,2.686
04/27/2015,2.627
04/20/2015,2.553
04/13/2015,2.47
04/6/2015,2.466
03/30/2015,2.484
03/23/2015,2.473
03/16/2015,2.51
03/9/2015,2.529
03/2/2015,2.496
02/23/2015,2.414
02/16/2015,2.366
02/9/2015,2.304
02/2/2015,2.203
01/26/2015,2.22
01/19/2015,2.274
01/12/2015,2.369
01/5/2015,2.474
12/29/2014,2.556
12/22/2014,2.641
12/15/2014,2.753
12/8/2014,2.853
12/1/2014,2.935
11/24/2014,2.968
11/17/2014,3.022
11/10/2014,3.06
11/3/2014,3.106
10/27/2014,3.163
10/20/2014,3.248
10/13/2014,3.345
10/6/2014,3.421
09/29/2014,3.444
09/22/2014,3.45
09/15/2014,3.482
09/8/2014,3.512
09/1/2014,3.514
08/25/2014,3.508
08/18/2014,3.54
08/11/2014,3.572
08/4/2014,3.609
07/28/2014,3.646
07/21/2014,3.69
07/14/2014,3.731
07/7/2014,3.761
06/30/2014,3.778
06/23/2014,3.768
06/16/2014,3.741
06/9/2014,3.736
06/2/2014,3.747
05/26/2014,3.759
05/19/2014,3.763
05/12/2014,3.779
05/5/2014,3.798
04/28/2014,3.803
04/21/2014,3.76
04/14/2014,3.707
04/7/2014,3.678
03/31/2014,3.653
03/24/2014,3.625
03/17/2014,3.619
03/10/2014,3.59
03/3/2014,3.573
02/24/2014,3.564
02/17/2014,3.512
02/10/2014,3.453
02/3/2014,3.463
01/27/2014,3.48
01/20/2014,3.491
01/13/2014,3.512
01/6/2014,3.538
12/30/2013,3.511
12/23/2013,3.48
12/16/2013,3.472
12/9/2013,3.482
12/2/2013,3.488
11/25/2013,3.484
11/18/2013,3.381
11/11/2013,3.345
11/4/2013,3.391
10/28/2013,3.42
10/21/2013,3.455
10/14/2013,3.448
10/7/2013,3.461
09/30/2013,3.509
09/23/2013,3.556
09/16/2013,3.629
09/9/2013,3.682
09/2/2013,3.7
08/26/2013,3.649
08/19/2013,3.651
08/12/2013,3.664
08/5/2013,3.719
07/29/2013,3.738
07/22/2013,3.746
07/15/2013,3.681
07/8/2013,3.553
07/1/2013,3.56
06/24/2013,3.599
06/17/2013,3.599
06/10/2013,3.587
06/3/2013,3.579
05/27/2013,3.594
05/20/2013,3.583
05/13/2013,3.579
05/6/2013,3.549
04/29/2013,3.555
04/22/2013,3.575
04/15/2013,3.628
04/8/2013,3.68
04/1/2013,3.724
03/25/2013,3.753
03/18/2013,3.781
03/11/2013,3.816
03/4/2013,3.851
02/25/2013,3.885
02/18/2013,3.836
02/11/2013,3.733
02/4/2013,3.677
01/28/2013,3.537
01/21/2013,3.509
01/14/2013,3.537
01/7/2013,3.529
12/31/2012,3.492
12/24/2012,3.445
12/17/2012,3.439
12/10/2012,3.507
12/3/2012,3.547
11/26/2012,3.574
11/19/2012,3.569
11/12/2012,3.581
11/5/2012,3.625
10/29/2012,3.679
10/22/2012,3.789
10/15/2012,3.88
10/8/2012,3.884
10/1/2012,3.887
09/24/2012,3.914
09/17/2012,3.962
09/10/2012,3.911
09/3/2012,3.894
08/27/2012,3.833
08/20/2012,3.792
08/13/2012,3.758
08/6/2012,3.678
07/30/2012,3.577
07/23/2012,3.568
07/16/2012,3.483
07/9/2012,3.437
07/2/2012,3.377
06/25/2012,3.427
06/18/2012,3.484
06/11/2012,3.533
06/4/2012,3.595
05/28/2012,3.652
05/21/2012,3.713
05/14/2012,3.778
05/7/2012,3.838
04/30/2012,3.904
04/23/2012,3.958
04/16/2012,4
04/9/2012,4.02
04/2/2012,3.983
03/26/2012,3.942
03/19/2012,3.883
03/12/2012,3.843
03/5/2012,3.838
02/27/2012,3.805
02/20/2012,3.725
02/13/2012,3.682
02/6/2012,3.625
01/30/2012,3.592
01/23/2012,3.529
01/16/2012,3.503
01/9/2012,3.487
01/2/2012,3.395
12/26/2011,3.344
12/19/2011,3.346
12/12/2011,3.38
12/5/2011,3.378
11/28/2011,3.405
11/21/2011,3.453
11/14/2011,3.499
11/7/2011,3.489
10/31/2011,3.513
10/24/2011,3.532
10/17/2011,3.524
10/10/2011,3.479
10/3/2011,3.518
09/26/2011,3.583
09/19/2011,3.66
09/12/2011,3.705
09/5/2011,3.711
08/29/2011,3.678
08/22/2011,3.671
08/15/2011,3.712
08/8/2011,3.781
08/1/2011,3.818
07/25/2011,3.805
07/18/2011,3.776
07/11/2011,3.718
07/4/2011,3.64
06/27/2011,3.67
06/20/2011,3.727
06/13/2011,3.765
06/6/2011,3.808
05/30/2011,3.852
05/23/2011,3.929
05/16/2011,4.021
05/9/2011,4.018
05/2/2011,3.994
04/25/2011,3.913
04/18/2011,3.868
04/11/2011,3.805
04/4/2011,3.702
03/28/2011,3.623
03/21/2011,3.607
03/14/2011,3.616
03/7/2011,3.568
02/28/2011,3.425
02/21/2011,3.241
02/14/2011,3.207
