Week of,Series ID: PET.EMM_EPM0_PTE_R20_DPG.W Dollars per Gallon
5/2/2016,2.269
4/25/2016,2.181
4/18/2016,2.139
4/11/2016,2.048
4/4/2016,2.07
3/28/2016,2.038
3/21/2016,2.021
3/14/2016,2.012
3/7/2016,1.896
2/29/2016,1.803
2/22/2016,1.693
2/15/2016,1.606
2/8/2016,1.602
2/1/2016,1.708
1/25/2016,1.714
1/18/2016,1.796
1/11/2016,1.906
1/4/2016,1.945
12/28/2015,1.959
12/21/2015,1.929
12/14/2015,1.986
12/7/2015,1.974
11/30/2015,1.959
11/23/2015,2.015
11/16/2015,2.168
11/9/2015,2.299
11/2/2015,2.351
10/26/2015,2.308
10/19/2015,2.382
10/12/2015,2.486
10/5/2015,2.435
9/28/2015,2.407
9/21/2015,2.354
9/14/2015,2.359
9/7/2015,2.419
8/31/2015,2.545
8/24/2015,2.746
8/17/2015,2.866
8/10/2015,2.544
8/3/2015,2.584
7/27/2015,2.649
7/20/2015,2.738
7/13/2015,2.791
7/6/2015,2.805
6/29/2015,2.806
6/22/2015,2.811
6/15/2015,2.862
6/8/2015,2.745
6/1/2015,2.762
5/25/2015,2.721
5/18/2015,2.664
5/11/2015,2.573
5/4/2015,2.565
4/27/2015,2.506
4/20/2015,2.463
4/13/2015,2.367
4/6/2015,2.375
3/30/2015,2.44
3/23/2015,2.451
3/16/2015,2.344
3/9/2015,2.4
3/2/2015,2.44
2/23/2015,2.336
2/16/2015,2.302
2/9/2015,2.231
2/2/2015,2.093
1/26/2015,2.001
1/19/2015,1.984
1/12/2015,2.018
1/5/2015,2.038
12/29/2014,2.151
12/22/2014,2.288
12/15/2014,2.479
12/8/2014,2.65
12/1/2014,2.778
11/24/2014,2.825
11/17/2014,2.918
11/10/2014,2.966
11/3/2014,3.02
10/27/2014,3.075
10/20/2014,3.089
10/13/2014,3.144
10/6/2014,3.257
9/29/2014,3.359
9/22/2014,3.334
9/15/2014,3.416
9/8/2014,3.499
9/1/2014,3.493
8/25/2014,3.456
8/18/2014,3.451
8/11/2014,3.508
8/4/2014,3.473
7/28/2014,3.464
7/21/2014,3.552
7/14/2014,3.593
7/7/2014,3.669
6/30/2014,3.724
6/23/2014,3.748
6/16/2014,3.769
6/9/2014,3.747
6/2/2014,3.771
5/26/2014,3.708
5/19/2014,3.667
5/12/2014,3.653
5/5/2014,3.65
4/28/2014,3.717
4/21/2014,3.695
4/14/2014,3.687
4/7/2014,3.632
3/31/2014,3.641
3/24/2014,3.604
3/17/2014,3.627
3/10/2014,3.589
3/3/2014,3.55
2/24/2014,3.493
2/17/2014,3.413
2/10/2014,3.339
2/3/2014,3.289
1/27/2014,3.272
1/20/2014,3.255
1/13/2014,3.309
1/6/2014,3.278
12/30/2013,3.319
12/23/2013,3.216
12/16/2013,3.135
12/9/2013,3.19
12/2/2013,3.179
11/25/2013,3.249
11/18/2013,3.185
11/11/2013,3.133
11/4/2013,3.243
10/28/2013,3.255
10/21/2013,3.367
10/14/2013,3.349
10/7/2013,3.324
9/30/2013,3.399
9/23/2013,3.506
9/16/2013,3.535
9/9/2013,3.619
9/2/2013,3.679
8/26/2013,3.572
8/19/2013,3.548
8/12/2013,3.525
8/5/2013,3.637
7/29/2013,3.623
7/22/2013,3.708
7/15/2013,3.686
7/8/2013,3.456
7/1/2013,3.439
6/24/2013,3.59
6/17/2013,3.78
6/10/2013,3.91
6/3/2013,3.877
5/27/2013,3.818
5/20/2013,3.903
5/13/2013,3.715
5/6/2013,3.651
4/29/2013,3.596
4/22/2013,3.591
4/15/2013,3.497
4/8/2013,3.596
4/1/2013,3.641
3/25/2013,3.699
3/18/2013,3.689
3/11/2013,3.661
3/4/2013,3.752
2/25/2013,3.778
2/18/2013,3.806
2/11/2013,3.624
2/4/2013,3.556
1/28/2013,3.333
1/21/2013,3.269
1/14/2013,3.204
1/7/2013,3.19
12/31/2012,3.266
12/24/2012,3.217
12/17/2012,3.187
12/10/2012,3.328
12/3/2012,3.364
11/26/2012,3.432
11/19/2012,3.387
11/12/2012,3.377
11/5/2012,3.367
10/29/2012,3.435
10/22/2012,3.528
10/15/2012,3.726
10/8/2012,3.812
10/1/2012,3.823
9/24/2012,3.853
9/17/2012,3.932
9/10/2012,3.897
9/3/2012,3.914
8/27/2012,3.818
8/20/2012,3.801
8/13/2012,3.826
8/6/2012,3.813
7/30/2012,3.553
7/23/2012,3.52
7/16/2012,3.458
7/9/2012,3.48
7/2/2012,3.357
6/25/2012,3.466
6/18/2012,3.598
6/11/2012,3.578
6/4/2012,3.558
5/28/2012,3.631
5/21/2012,3.665
5/14/2012,3.679
5/7/2012,3.761
4/30/2012,3.788
4/23/2012,3.811
4/16/2012,3.891
4/9/2012,3.897
4/2/2012,3.941
3/26/2012,3.937
3/19/2012,3.877
3/12/2012,3.847
3/5/2012,3.781
2/27/2012,3.662
2/20/2012,3.504
2/13/2012,3.444
2/6/2012,3.45
1/30/2012,3.39
1/23/2012,3.346
1/16/2012,3.403
1/9/2012,3.395
1/2/2012,3.308
12/26/2011,3.27
12/19/2011,3.186
12/12/2011,3.266
12/5/2011,3.251
11/28/2011,3.227
11/21/2011,3.308
11/14/2011,3.414
11/7/2011,3.375
10/31/2011,3.422
10/24/2011,3.396
10/17/2011,3.45
10/10/2011,3.373
10/3/2011,3.358
9/26/2011,3.467
9/19/2011,3.609
9/12/2011,3.717
9/5/2011,3.745
8/29/2011,3.709
8/22/2011,3.605
8/15/2011,3.619
8/8/2011,3.701
8/1/2011,3.753
7/25/2011,3.73
7/18/2011,3.729
7/11/2011,3.704
7/4/2011,3.631
6/27/2011,3.529
6/20/2011,3.651
6/13/2011,3.76
6/6/2011,3.894
5/30/2011,3.836
5/23/2011,3.852
5/16/2011,4.01
5/9/2011,4.018
5/2/2011,4.047
4/25/2011,3.938
4/18/2011,3.883
4/11/2011,3.841
4/4/2011,3.718
3/28/2011,3.587
3/21/2011,3.554
3/14/2011,3.561
3/7/2011,3.521
2/28/2011,3.403
2/21/2011,3.175
2/14/2011,3.125
2/7/2011,3.159
1/31/2011,3.122
1/24/2011,3.122
1/17/2011,3.125
1/10/2011,3.12
1/3/2011,3.1
12/27/2010,3.085
12/20/2010,2.972
12/13/2010,2.967
12/6/2010,2.962
11/29/2010,2.823
11/22/2010,2.861
11/15/2010,2.913
11/8/2010,2.928
11/1/2010,2.795
10/25/2010,2.801
10/18/2010,2.842
10/11/2010,2.867
10/4/2010,2.771
9/27/2010,2.712
9/20/2010,2.778
9/13/2010,2.813
9/6/2010,2.709
8/30/2010,2.672
8/23/2010,2.662
8/16/2010,2.717
8/9/2010,2.791
8/2/2010,2.73
7/26/2010,2.774
