Week of,Series ID: PET.EMM_EPM0_PTE_R50_DPG.W Dollars per Gallon
05/2/2016,2.702
04/25/2016,2.663
04/18/2016,2.658
04/11/2016,2.63
04/4/2016,2.647
03/28/2016,2.639
03/21/2016,2.547
03/14/2016,2.463
03/7/2016,2.313
02/29/2016,2.277
02/22/2016,2.206
02/15/2016,2.283
02/8/2016,2.379
02/1/2016,2.443
01/25/2016,2.526
01/18/2016,2.591
01/11/2016,2.698
01/4/2016,2.731
12/28/2015,2.698
12/21/2015,2.635
12/14/2015,2.577
12/7/2015,2.599
11/30/2015,2.614
11/23/2015,2.642
11/16/2015,2.7
11/9/2015,2.732
11/2/2015,2.714
10/26/2015,2.742
10/19/2015,2.763
10/12/2015,2.812
10/5/2015,2.85
09/28/2015,2.899
09/21/2015,2.975
09/14/2015,3.056
09/7/2015,3.156
08/31/2015,3.229
08/24/2015,3.349
08/17/2015,3.429
08/10/2015,3.426
08/3/2015,3.549
07/27/2015,3.615
07/20/2015,3.674
07/13/2015,3.66
07/6/2015,3.357
06/29/2015,3.368
06/22/2015,3.389
06/15/2015,3.396
06/8/2015,3.441
06/1/2015,3.506
05/25/2015,3.553
05/18/2015,3.578
05/11/2015,3.508
05/4/2015,3.483
04/27/2015,3.244
04/20/2015,3.028
04/13/2015,2.983
04/6/2015,3.017
03/30/2015,3.061
03/23/2015,3.108
03/16/2015,3.181
03/9/2015,3.245
03/2/2015,3.194
02/23/2015,2.819
02/16/2015,2.681
02/9/2015,2.533
02/2/2015,2.386
01/26/2015,2.387
01/19/2015,2.438
01/12/2015,2.547
01/5/2015,2.638
12/29/2014,2.671
12/22/2014,2.753
12/15/2014,2.887
12/8/2014,2.993
12/1/2014,3.07
11/24/2014,3.101
11/17/2014,3.167
11/10/2014,3.222
11/3/2014,3.291
10/27/2014,3.379
10/20/2014,3.478
10/13/2014,3.59
10/6/2014,3.663
09/29/2014,3.697
09/22/2014,3.735
09/15/2014,3.792
09/8/2014,3.825
09/1/2014,3.848
08/25/2014,3.877
08/18/2014,3.897
08/11/2014,3.922
08/4/2014,3.945
07/28/2014,3.976
07/21/2014,4.01
07/14/2014,4.054
07/7/2014,4.091
06/30/2014,4.09
06/23/2014,4.066
06/16/2014,4.054
06/9/2014,4.05
06/2/2014,4.062
05/26/2014,4.061
05/19/2014,4.072
05/12/2014,4.079
05/5/2014,4.112
04/28/2014,4.131
04/21/2014,4.086
04/14/2014,4.037
04/7/2014,3.938
03/31/2014,3.909
03/24/2014,3.88
03/17/2014,3.868
03/10/2014,3.811
03/3/2014,3.766
02/24/2014,3.709
02/17/2014,3.629
02/10/2014,3.573
02/3/2014,3.548
01/27/2014,3.541
01/20/2014,3.547
01/13/2014,3.581
01/6/2014,3.602
12/30/2013,3.581
12/23/2013,3.538
12/16/2013,3.526
12/9/2013,3.531
12/2/2013,3.529
11/25/2013,3.511
11/18/2013,3.52
11/11/2013,3.561
11/4/2013,3.617
10/28/2013,3.663
10/21/2013,3.709
10/14/2013,3.739
10/7/2013,3.791
09/30/2013,3.858
09/23/2013,3.921
09/16/2013,3.955
09/9/2013,3.851
09/2/2013,3.803
08/26/2013,3.797
08/19/2013,3.829
08/12/2013,3.892
08/5/2013,3.939
07/29/2013,3.983
07/22/2013,4.007
07/15/2013,3.98
07/8/2013,3.929
07/1/2013,3.947
06/24/2013,4.003
06/17/2013,3.941
06/10/2013,3.93
06/3/2013,3.942
05/27/2013,3.984
05/20/2013,4.004
05/13/2013,3.989
05/6/2013,3.863
04/29/2013,3.853
04/22/2013,3.889
04/15/2013,3.941
