Date,BOS,CHI,CLE,DEN,HOU,LA,MIA,NYC,SF,SEA
5-Jun-00,,1.99,,1.534,1.529,1.591,,1.654,1.805,
12-Jun-00,,2.134,,1.576,1.557,1.587,,1.693,1.812,
19-Jun-00,,2.148,,1.65,1.591,1.583,,1.731,1.816,
26-Jun-00,,2.029,,1.686,1.602,1.607,,1.748,1.831,
3-Jul-00,,1.829,,1.679,1.592,1.648,,1.755,1.883,
10-Jul-00,,1.73,,1.669,1.587,1.667,,1.752,1.906,
17-Jul-00,,1.617,,1.656,1.58,1.654,,1.748,1.91,
24-Jul-00,,1.489,,1.637,1.572,1.64,,1.736,1.911,
31-Jul-00,,1.391,,1.61,1.567,1.615,,1.715,1.897,
7-Aug-00,,1.396,,1.578,1.538,1.589,,1.702,1.888,
14-Aug-00,,1.365,,1.548,1.508,1.584,,1.686,1.884,
21-Aug-00,,1.408,,1.529,1.489,1.567,,1.679,1.902,
28-Aug-00,,1.446,,1.523,1.496,1.618,,1.671,1.926,
4-Sep-00,,1.584,,1.516,1.494,1.698,,1.672,1.961,
11-Sep-00,,1.574,,1.613,1.499,1.741,,1.68,2.018,
18-Sep-00,,1.546,,1.616,1.497,1.739,,1.676,2.011,
25-Sep-00,,1.536,,1.603,1.479,1.73,,1.673,2.007,
2-Oct-00,,1.511,,1.581,1.48,1.768,,1.663,2,
9-Oct-00,,1.483,,1.562,1.461,1.759,,1.653,2.002,
16-Oct-00,,1.594,,1.551,1.463,1.743,,1.658,1.997,
23-Oct-00,,1.555,,1.572,1.465,1.727,,1.66,1.992,
30-Oct-00,,1.612,,1.598,1.456,1.733,,1.661,1.989,
6-Nov-00,,1.585,,1.593,1.444,1.724,,1.659,1.984,
13-Nov-00,,1.55,,1.587,1.447,1.705,,1.65,1.975,
20-Nov-00,,1.581,,1.578,1.438,1.675,,1.649,1.958,
27-Nov-00,,1.551,,1.573,1.439,1.665,,1.646,1.949,
4-Dec-00,,1.523,,1.56,1.428,1.658,,1.64,1.931,
11-Dec-00,,1.492,,1.553,1.411,1.624,,1.628,1.908,
18-Dec-00,,1.462,,1.538,1.381,1.607,,1.609,1.883,
25-Dec-00,,1.455,,1.521,1.366,1.617,,1.596,1.851,
1-Jan-01,,1.524,,1.488,1.39,1.587,,1.587,1.837,
8-Jan-01,,1.516,,1.466,1.384,1.587,,1.575,1.817,
15-Jan-01,,1.607,,1.469,1.429,1.561,,1.566,1.79,
22-Jan-01,,1.585,,1.474,1.448,1.533,,1.561,1.781,
29-Jan-01,,1.58,,1.486,1.431,1.502,,1.559,1.77,
5-Feb-01,,1.541,,1.517,1.416,1.553,,1.556,1.766,
12-Feb-01,,1.564,,1.514,1.429,1.608,,1.557,1.794,
19-Feb-01,,1.517,,1.504,1.425,1.632,,1.558,1.811,
26-Feb-01,,1.466,,1.494,1.411,1.633,,1.55,1.813,
5-Mar-01,,1.447,,1.47,1.374,1.663,,1.541,1.842,
12-Mar-01,,1.414,,1.46,1.371,1.666,,1.532,1.848,
19-Mar-01,,1.448,,1.456,1.375,1.652,,1.524,1.857,
26-Mar-01,,1.397,,1.456,1.403,1.64,,1.509,1.856,
2-Apr-01,,1.56,,1.551,1.446,1.684,,1.517,1.891,
