Week of,Series ID: PET.EMM_EPM0_PTE_R30_DPG.W Dollars per Gallon
05/2/2016,2.099
04/25/2016,2.019
04/18/2016,2.013
04/11/2016,1.94
04/4/2016,1.973
03/28/2016,1.969
03/21/2016,1.91
03/14/2016,1.85
03/7/2016,1.706
02/29/2016,1.662
02/22/2016,1.631
02/15/2016,1.632
02/8/2016,1.667
02/1/2016,1.697
01/25/2016,1.734
01/18/2016,1.778
01/11/2016,1.831
01/4/2016,1.854
12/28/2015,1.865
12/21/2015,1.887
12/14/2015,1.892
12/7/2015,1.921
11/30/2015,1.929
11/23/2015,1.956
11/16/2015,2.027
11/9/2015,2.07
11/2/2015,2.018
10/26/2015,2.046
10/19/2015,2.1
10/12/2015,2.148
10/5/2015,2.132
09/28/2015,2.109
09/21/2015,2.12
09/14/2015,2.186
09/7/2015,2.231
08/31/2015,2.291
08/24/2015,2.379
08/17/2015,2.429
08/10/2015,2.43
08/3/2015,2.485
07/27/2015,2.53
07/20/2015,2.577
07/13/2015,2.617
07/6/2015,2.61
06/29/2015,2.631
06/22/2015,2.662
06/15/2015,2.678
06/8/2015,2.623
06/1/2015,2.567
05/25/2015,2.572
05/18/2015,2.552
05/11/2015,2.522
05/4/2015,2.468
04/27/2015,2.391
04/20/2015,2.328
04/13/2015,2.275
04/6/2015,2.271
03/30/2015,2.273
03/23/2015,2.275
03/16/2015,2.306
03/9/2015,2.313
03/2/2015,2.301
02/23/2015,2.195
02/16/2015,2.16
02/9/2015,2.07
02/2/2015,1.949
01/26/2015,1.939
01/19/2015,1.933
01/12/2015,2
01/5/2015,2.082
12/29/2014,2.163
12/22/2014,2.265
12/15/2014,2.418
12/8/2014,2.529
12/1/2014,2.621
11/24/2014,2.683
11/17/2014,2.761
11/10/2014,2.811
11/3/2014,2.857
10/27/2014,2.917
10/20/2014,2.999
10/13/2014,3.093
10/6/2014,3.193
09/29/2014,3.238
09/22/2014,3.209
09/15/2014,3.253
09/8/2014,3.302
09/1/2014,3.296
08/25/2014,3.319
08/18/2014,3.343
08/11/2014,3.351
08/4/2014,3.385
07/28/2014,3.429
07/21/2014,3.47
07/14/2014,3.517
07/7/2014,3.539
06/30/2014,3.56
06/23/2014,3.571
06/16/2014,3.505
06/9/2014,3.495
06/2/2014,3.517
05/26/2014,3.512
05/19/2014,3.517
05/12/2014,3.515
05/5/2014,3.543
04/28/2014,3.568
04/21/2014,3.568
04/14/2014,3.548
04/7/2014,3.469
03/31/2014,3.418
03/24/2014,3.395
03/17/2014,3.358
03/10/2014,3.328
03/3/2014,3.303
02/24/2014,3.287
02/17/2014,3.257
02/10/2014,3.163
02/3/2014,3.162
01/27/2014,3.171
01/20/2014,3.181
01/13/2014,3.185
01/6/2014,3.2
12/30/2013,3.197
12/23/2013,3.139
12/16/2013,3.124
12/9/2013,3.18
12/2/2013,3.203
11/25/2013,3.216
11/18/2013,3.084
11/11/2013,3.057
11/4/2013,3.112
10/28/2013,3.151
10/21/2013,3.208
10/14/2013,3.188
10/7/2013,3.206
09/30/2013,3.254
09/23/2013,3.308
09/16/2013,3.379
09/9/2013,3.454
09/2/2013,3.484
08/26/2013,3.459
08/19/2013,3.449
08/12/2013,3.464
08/5/2013,3.52
07/29/2013,3.552
07/22/2013,3.58
07/15/2013,3.518
07/8/2013,3.368
07/1/2013,3.385
06/24/2013,3.452
06/17/2013,3.453
06/10/2013,3.415
06/3/2013,3.413
05/27/2013,3.438
05/20/2013,3.462
05/13/2013,3.437
05/6/2013,3.371
04/29/2013,3.369
04/22/2013,3.397
04/15/2013,3.436
04/8/2013,3.504
04/1/2013,3.552
03/25/2013,3.575
03/18/2013,3.593
03/11/2013,3.611
03/4/2013,3.647
02/25/2013,3.694
02/18/2013,3.602
02/11/2013,3.451
02/4/2013,3.401
01/28/2013,3.232
01/21/2013,3.22
01/14/2013,3.232
01/7/2013,3.235
12/31/2012,3.177
12/24/2012,3.125
12/17/2012,3.112
12/10/2012,3.193
12/3/2012,3.227
11/26/2012,3.24
11/19/2012,3.233
11/12/2012,3.271
11/5/2012,3.337
10/29/2012,3.404
10/22/2012,3.514
10/15/2012,3.61
10/8/2012,3.603
10/1/2012,3.62
09/24/2012,3.666
09/17/2012,3.721
09/10/2012,3.706
09/3/2012,3.709
08/27/2012,3.646
08/20/2012,3.61
08/13/2012,3.552
08/6/2012,3.476
07/30/2012,3.374
07/23/2012,3.356
07/16/2012,3.263
07/9/2012,3.224
07/2/2012,3.187
06/25/2012,3.257
06/18/2012,3.329
06/11/2012,3.372
06/4/2012,3.433
05/28/2012,3.483
05/21/2012,3.551
05/14/2012,3.62
05/7/2012,3.685
04/30/2012,3.747
04/23/2012,3.81
04/16/2012,3.864
04/9/2012,3.881
04/2/2012,3.864
03/26/2012,3.82
03/19/2012,3.759
03/12/2012,3.707
03/5/2012,3.667
02/27/2012,3.619
02/20/2012,3.541
02/13/2012,3.493
02/6/2012,3.411
01/30/2012,3.354
01/23/2012,3.29
01/16/2012,3.273
01/9/2012,3.263
01/2/2012,3.158
12/26/2011,3.119
12/19/2011,3.103
12/12/2011,3.149
12/5/2011,3.153
11/28/2011,3.176
11/21/2011,3.225
11/14/2011,3.294
11/7/2011,3.286
10/31/2011,3.322
10/24/2011,3.362
10/17/2011,3.361
10/10/2011,3.283
10/3/2011,3.299
09/26/2011,3.371
09/19/2011,3.473
09/12/2011,3.532
09/5/2011,3.554
08/29/2011,3.533
08/22/2011,3.523
08/15/2011,3.55
08/8/2011,3.617
08/1/2011,3.662
07/25/2011,3.659
07/18/2011,3.627
07/11/2011,3.563
07/4/2011,3.469
06/27/2011,3.504
06/20/2011,3.57
06/13/2011,3.618
06/6/2011,3.64
05/30/2011,3.683
05/23/2011,3.771
05/16/2011,3.881
05/9/2011,3.872
05/2/2011,3.866
04/25/2011,3.781
04/18/2011,3.781
04/11/2011,3.724
04/4/2011,3.605
03/28/2011,3.521
03/21/2011,3.48
03/14/2011,3.495
03/7/2011,3.461
02/28/2011,3.305
02/21/2011,3.087
02/14/2011,3.058
02/7/2011,3.033
01/31/2011,2.996
01/24/2011,3.022
01/17/2011,3.017
01/10/2011,2.992
01/3/2011,2.98
12/27/2010,2.955
12/20/2010,2.887
12/13/2010,2.884
12/6/2010,2.86
11/29/2010,2.727
11/22/2010,2.752
11/15/2010,2.78
11/8/2010,2.741
11/1/2010,2.699
10/25/2010,2.718
10/18/2010,2.736
10/11/2010,2.732
10/4/2010,2.645
09/27/2010,2.619
09/20/2010,2.642
09/13/2010,2.594
09/6/2010,2.574
08/30/2010,2.584
08/23/2010,2.621
08/16/2010,2.671
08/9/2010,2.698
08/2/2010,2.64
07/26/2010,2.65
07/19/2010,2.612
07/12/2010,2.621
07/5/2010,2.637
06/28/2010,2.668
06/21/2010,2.654
06/14/2010,2.635
06/7/2010,2.668
05/31/2010,2.701
05/24/2010,2.756
05/17/2010,2.82
05/10/2010,2.845
05/3/2010,2.836
04/26/2010,2.787
04/19/2010,2.805
04/12/2010,2.81
04/5/2010,2.773
03/29/2010,2.74
03/22/2010,2.752
03/15/2010,2.743
03/8/2010,2.704
03/1/2010,2.654
02/22/2010,2.59
02/15/2010,2.54
02/8/2010,2.573
02/1/2010,2.598
01/25/2010,2.646
01/18/2010,2.674
01/11/2010,2.673
01/4/2010,2.582
12/28/2009,2.523
12/21/2009,2.502
12/14/2009,2.532
12/7/2009,2.575
11/30/2009,2.555
11/23/2009,2.566
11/16/2009,2.557
11/9/2009,2.586
11/2/2009,2.619
10/26/2009,2.603
10/19/2009,2.494
10/12/2009,2.373
10/5/2009,2.344
09/28/2009,2.366
09/21/2009,2.413
09/14/2009,2.437
09/7/2009,2.462
08/31/2009,2.517
08/24/2009,2.545
08/17/2009,2.57
08/10/2009,2.58
08/3/2009,2.488
07/27/2009,2.423
07/20/2009,2.378
07/13/2009,2.441
07/6/2009,2.517
06/29/2009,2.572
06/22/2009,2.616
06/15/2009,2.587
06/8/2009,2.529
06/1/2009,2.44
05/25/2009,2.374
05/18/2009,2.269
05/11/2009,2.189
05/4/2009,2.012
04/27/2009,2.003
