Week of,Series ID: PET.EMM_EPM0_PTE_R40_DPG.W Dollars per Gallon
05/2/2016,2.257
04/25/2016,2.204
04/18/2016,2.165
04/11/2016,2.086
04/4/2016,2.049
03/28/2016,2.029
03/21/2016,1.982
03/14/2016,1.946
03/7/2016,1.863
02/29/2016,1.78
02/22/2016,1.754
02/15/2016,1.773
02/8/2016,1.835
02/1/2016,1.886
01/25/2016,1.943
01/18/2016,1.988
01/11/2016,2.028
01/4/2016,2.045
12/28/2015,2.052
12/21/2015,2.075
12/14/2015,2.074
12/7/2015,2.093
11/30/2015,2.132
11/23/2015,2.172
11/16/2015,2.216
11/9/2015,2.264
11/2/2015,2.322
10/26/2015,2.385
10/19/2015,2.441
10/12/2015,2.509
10/5/2015,2.56
09/28/2015,2.621
09/21/2015,2.688
09/14/2015,2.762
09/7/2015,2.809
08/31/2015,2.843
08/24/2015,2.892
08/17/2015,2.905
08/10/2015,2.867
08/3/2015,2.897
07/27/2015,2.925
07/20/2015,2.911
07/13/2015,2.889
07/6/2015,2.882
06/29/2015,2.867
06/22/2015,2.864
06/15/2015,2.86
06/8/2015,2.832
06/1/2015,2.814
05/25/2015,2.805
05/18/2015,2.764
05/11/2015,2.71
05/4/2015,2.639
04/27/2015,2.55
04/20/2015,2.498
04/13/2015,2.421
04/6/2015,2.389
03/30/2015,2.383
03/23/2015,2.372
03/16/2015,2.355
03/9/2015,2.296
03/2/2015,2.184
02/23/2015,2.101
02/16/2015,2.055
02/9/2015,2.008
02/2/2015,1.929
01/26/2015,1.934
01/19/2015,1.972
01/12/2015,2.051
01/5/2015,2.182
12/29/2014,2.296
12/22/2014,2.453
12/15/2014,2.652
12/8/2014,2.804
12/1/2014,2.922
11/24/2014,2.996
11/17/2014,3.073
11/10/2014,3.138
11/3/2014,3.205
10/27/2014,3.26
10/20/2014,3.314
10/13/2014,3.403
10/6/2014,3.491
09/29/2014,3.552
09/22/2014,3.6
09/15/2014,3.65
09/8/2014,3.682
09/1/2014,3.696
08/25/2014,3.708
08/18/2014,3.716
08/11/2014,3.711
08/4/2014,3.701
07/28/2014,3.704
07/21/2014,3.699
07/14/2014,3.704
07/7/2014,3.702
06/30/2014,3.689
06/23/2014,3.665
06/16/2014,3.59
06/9/2014,3.568
06/2/2014,3.563
05/26/2014,3.563
05/19/2014,3.566
05/12/2014,3.57
05/5/2014,3.559
04/28/2014,3.538
04/21/2014,3.499
04/14/2014,3.49
04/7/2014,3.5
03/31/2014,3.505
03/24/2014,3.512
03/17/2014,3.51
03/10/2014,3.491
03/3/2014,3.445
02/24/2014,3.378
02/17/2014,3.294
02/10/2014,3.192
02/3/2014,3.179
01/27/2014,3.189
01/20/2014,3.2
01/13/2014,3.203
01/6/2014,3.175
12/30/2013,3.155
12/23/2013,3.112
12/16/2013,3.111
12/9/2013,3.133
12/2/2013,3.17
11/25/2013,3.202
11/18/2013,3.238
11/11/2013,3.282
11/4/2013,3.361
10/28/2013,3.422
10/21/2013,3.48
10/14/2013,3.512
10/7/2013,3.56
09/30/2013,3.602
09/23/2013,3.639
09/16/2013,3.664
09/9/2013,3.684
09/2/2013,3.678
08/26/2013,3.675
08/19/2013,3.693
08/12/2013,3.699
08/5/2013,3.692
07/29/2013,3.695
07/22/2013,3.669
07/15/2013,3.665
07/8/2013,3.666
07/1/2013,3.696
06/24/2013,3.726
06/17/2013,3.74
06/10/2013,3.771
06/3/2013,3.779
05/27/2013,3.773
05/20/2013,3.72
05/13/2013,3.609
05/6/2013,3.543
04/29/2013,3.535
04/22/2013,3.541
04/15/2013,3.559
04/8/2013,3.576
04/1/2013,3.547
03/25/2013,3.518
03/18/2013,3.518
03/11/2013,3.518
03/4/2013,3.526
02/25/2013,3.521
02/18/2013,3.459
02/11/2013,3.323
02/4/2013,3.192
01/28/2013,3.029
01/21/2013,2.927
01/14/2013,2.914
01/7/2013,2.982
12/31/2012,3.066
12/24/2012,3.147
12/17/2012,3.263
12/10/2012,3.379
12/3/2012,3.456
11/26/2012,3.524
11/19/2012,3.562
11/12/2012,3.612
11/5/2012,3.663
10/29/2012,3.702
10/22/2012,3.755
10/15/2012,3.781
10/8/2012,3.797
10/1/2012,3.815
09/24/2012,3.821
09/17/2012,3.821
09/10/2012,3.749
09/3/2012,3.689
08/27/2012,3.624
08/20/2012,3.582
08/13/2012,3.545
08/6/2012,3.509
07/30/2012,3.512
07/23/2012,3.537
07/16/2012,3.556
07/9/2012,3.595
07/2/2012,3.63
06/25/2012,3.681
06/18/2012,3.737
06/11/2012,3.756
06/4/2012,3.776
05/28/2012,3.788
05/21/2012,3.801
05/14/2012,3.808
05/7/2012,3.809
04/30/2012,3.831
04/23/2012,3.842
04/16/2012,3.845
04/9/2012,3.833
04/2/2012,3.793
03/26/2012,3.734
03/19/2012,3.671
03/12/2012,3.529
03/5/2012,3.38
02/27/2012,3.242
02/20/2012,3.145
02/13/2012,3.119
02/6/2012,3.116
01/30/2012,3.077
01/23/2012,3.058
01/16/2012,3.047
01/9/2012,3.056
01/2/2012,3.08
12/26/2011,3.119
12/19/2011,3.186
12/12/2011,3.282
12/5/2011,3.341
11/28/2011,3.389
11/21/2011,3.445
11/14/2011,3.489
11/7/2011,3.513
10/31/2011,3.538
10/24/2011,3.567
10/17/2011,3.579
10/10/2011,3.567
10/3/2011,3.592
09/26/2011,3.623
09/19/2011,3.648
09/12/2011,3.641
09/5/2011,3.619
08/29/2011,3.58
08/22/2011,3.57
08/15/2011,3.578
08/8/2011,3.606
08/1/2011,3.595
07/25/2011,3.574
07/18/2011,3.563
07/11/2011,3.553
07/4/2011,3.563
06/27/2011,3.613
06/20/2011,3.668
06/13/2011,3.704
06/6/2011,3.732
05/30/2011,3.752
05/23/2011,3.778
05/16/2011,3.802
05/9/2011,3.77
05/2/2011,3.744
04/25/2011,3.683
04/18/2011,3.655
04/11/2011,3.616
04/4/2011,3.547
03/28/2011,3.487
03/21/2011,3.435
03/14/2011,3.407
03/7/2011,3.346
02/28/2011,3.23
02/21/2011,3.12
02/14/2011,3.062
02/7/2011,3.034
01/31/2011,2.974
01/24/2011,2.96
01/17/2011,2.934
01/10/2011,2.903
01/3/2011,2.891
12/27/2010,2.868
12/20/2010,2.846
12/13/2010,2.842
12/6/2010,2.817
11/29/2010,2.812
11/22/2010,2.83
11/15/2010,2.842
11/8/2010,2.831
11/1/2010,2.831
10/25/2010,2.841
10/18/2010,2.849
10/11/2010,2.845
10/4/2010,2.841
09/27/2010,2.853
09/20/2010,2.872
09/13/2010,2.875
09/6/2010,2.87
08/30/2010,2.868
08/23/2010,2.854
08/16/2010,2.85
08/9/2010,2.837
08/2/2010,2.802
07/26/2010,2.797
07/19/2010,2.797
07/12/2010,2.791
07/5/2010,2.802
06/28/2010,2.814
06/21/2010,2.82
06/14/2010,2.819
06/7/2010,2.841
05/31/2010,2.871
05/24/2010,2.908
05/17/2010,2.95
05/10/2010,2.962
05/3/2010,2.948
04/26/2010,2.941
04/19/2010,2.936
04/12/2010,2.915
04/5/2010,2.877
03/29/2010,2.842
03/22/2010,2.819
03/15/2010,2.782
03/8/2010,2.733
03/1/2010,2.681
02/22/2010,2.667
02/15/2010,2.654
02/8/2010,2.671
02/1/2010,2.666
01/25/2010,2.671
01/18/2010,2.664
01/11/2010,2.623
01/4/2010,2.556
12/28/2009,2.547
12/21/2009,2.553
12/14/2009,2.586
12/7/2009,2.606
11/30/2009,2.619
11/23/2009,2.632
11/16/2009,2.649
11/9/2009,2.651
11/2/2009,2.653
10/26/2009,2.626
10/19/2009,2.565
10/12/2009,2.532
10/5/2009,2.553
09/28/2009,2.598
09/21/2009,2.62
09/14/2009,2.636
09/7/2009,2.645
08/31/2009,2.663
08/24/2009,2.665
08/17/2009,2.66
08/10/2009,2.622
08/3/2009,2.554
07/27/2009,2.549
07/20/2009,2.572
07/13/2009,2.613
07/6/2009,2.639
06/29/2009,2.649
06/22/2009,2.65
06/15/2009,2.619
06/8/2009,2.561
06/1/2009,2.466
05/25/2009,2.408
05/18/2009,2.285
05/11/2009,2.226
05/4/2009,2.14
04/27/2009,2.118
04/20/2009,2.094
04/13/2009,2.052
04/6/2009,2.008
03/30/2009,1.979
03/23/2009,1.908
03/16/2009,1.861
03/9/2009,1.856
03/2/2009,1.834
02/23/2009,1.843
02/16/2009,1.862
02/9/2009,1.822
02/2/2009,1.756
01/26/2009,1.689
01/19/2009,1.653
01/12/2009,1.61
01/5/2009,1.54
12/29/2008,1.55
